Card,Ungraded,Grade 9,PSA 10
"Bronny James Jr. #280
[RC]",$1.45,$12.57,$31.00
"Stephon Castle [Gold Artist Proof] #234
/10",$467.50,$750.61,"$2,187.08"
"Devin Booker [Premium Gold Prizm] #1
/10",$179.01,,
"Dalton Knecht #294
[RC]",$1.29,$11.68,$34.89
Victor Wembanyama #165,$2.00,$12.44,$37.10
Luka Doncic #281,$0.99,$11.57,$34.57
Larry Bird #299,$1.60,$12.54,$37.39
"Dalton Knecht #247
[RC]",$1.59,$7.00,$16.50
"Dalton Knecht [Gold Artist Proof] #294
/10",$400.00,,
"Stephon Castle #234
[RC]",$1.65,$12.00,$37.39
LeBron James #18,$1.50,$12.38,$36.93
"Luka Doncic [Premium Gold Prizm] #115
/10",$199.95,,
"Austin Reaves [Gold Vinyl Prizm Premium] #138
/1",$250.00,,
Shai Gilgeous-Alexander #283,$1.59,$12.42,$37.05
"Victor Wembanyama [Red Explosion] #165
/15",$312.49,$505.33,"$1,473.68"
"Jared McCain #246
[RC]",$1.53,$7.00,$35.85
"Reed Sheppard #291
[RC]",$1.46,$12.36,$36.87
"Matas Buzelis #295
[RC]",$1.59,$12.52,$37.33
Stephen Curry #282,$1.27,$12.23,$36.50
"Matas Buzelis #241
[RC]",$1.25,$11.98,$35.77
Zion Williamson #290,$1.44,$12.11,$36.15
"Donovan Clingan [Artist Proof] #293
/25",$227.50,,
Shaquille O'Neal #296,$1.25,$11.98,$35.76
Giannis Antetokounmpo #285,$1.30,$12.19,$36.38
Blaster Box,$22.89,,
Ja Morant #288,$0.99,$11.71,$34.99
Chet Holmgren #289,$1.77,$12.80,$38.16
Nikola Jokic #284,$1.42,$12.25,$36.55
"Stephon Castle [Silver] #234
/199",$15.00,$32.27,$94.88
Bronny James Jr. [Premium] #280,$2.25,$13.65,$40.63
"Reed Sheppard #233
[RC]",$1.39,$9.07,$36.28
"Bub Carrington [Black Artist Proof] #244
/1",,,
"Zach Edey #239
[RC]",$1.25,$22.00,$37.57
Julius Erving #300,$1.19,$12.01,$35.86
"Rob Dillingham [Gold Vinyl Prizm Premium] #238
/1","$2,000.00",,
Donovan Clingan #293,$1.10,$11.71,$34.99
"Jaylen Wells [Nebula Prizm Premium] #269
/1",$275.00,$445.94,"$1,300.70"
Hobby Box,$119.13,,
"Kel'el Ware #245
[RC]",$1.60,$12.57,$37.48
"Victor Wembanyama [Lazer Blue Prizm Premium] #165
/49",$90.00,$152.73,$446.24
Anthony Edwards #286,$0.99,$11.57,$34.57
"Jaylon Tyson #250
[RC]",$0.78,$11.24,$33.60
"Jaylen Wells #269
[RC]",$0.99,$11.54,$34.47
Victor Wembanyama [Silver Prizm Premium] #165,$3.99,$18.42,$54.52
Paolo Banchero #164,$0.99,$11.57,$34.57
"Zaccharie Risacher #231
[RC]",$1.68,$12.66,$37.75
"Kyrie Irving [Premium Gold Prizm] #108
/10",$122.75,$204.57,$597.09
"Rob Dillingham #238
[RC]",$1.48,$7.00,$36.87
"Reed Sheppard [Artist Proof] #233
/25",$179.99,,
Luka Doncic #115,$1.64,$12.77,$38.09
